Symbol,Current Price,7D Ago Price,30D Ago Price,90D Ago Price,Weekly % Change,Monthly % Change,3M % Change
RELIANCE,1544.6,1566.1,1496.1,1378.5,-1.372836984,3.241761914,12.04932898
HDFCBANK,1001.2,1002.1,984.65,966,-0.08981139607,1.680800284,3.64389234
TCS,33.14,33.9,34.67,34.3,-2.241887906,-4.413037208,-3.381924198
BHARTIARTL,2109.8,2089.7,2094.9,1887.7,0.9618605541,0.7112511337,11.76564073
ICICIBANK,1392.5,1390.1,1320.4,1402.7,0.1726494497,5.460466525,-0.7271690312
HCLTECH,1681,1642.9,1526.4,1403,2.319069937,10.12840671,19.81468282
KOTAKBANK,2156,2147.6,2083.2,1950.1,0.3911342894,3.494623656,10.5584329
SUNPHARMA,1805,1807.4,1685.9,1581,-0.1327874295,7.064475948,14.16824794
MARUTI,16300,16097,15452,15258,1.261104554,5.487962723,6.829204352
ULTRACEMCO,11595,11662,11910,12664,-0.5745155205,-2.644836272,-8.44125079
AXISBANK,1281.8,1275.7,1228.5,1055.5,0.4781688485,4.338624339,21.44007579
AUROPHARMA,1217.9,1216.2,1140.6,1040.2,0.1397796415,6.777134841,17.08325322
SBIN,971.7,973.1,960.75,808.8,-0.1438701058,1.139734582,20.14094955
LT,4039,4073.2,3881.6,3529.6,-0.8396346853,4.055028854,14.43223028
INFY,18.07,17.45,16.18,16.79,3.553008596,11.68108776,7.623585468
POWERGRID,269.9,269.65,270.2,282.8,0.09271277582,-0.1110288675,-4.561527581
BAJFINANCE,1046.8,1021.1,1041.9,944.3,2.516893546,0.470294654,10.85460129
BAJAJFINSV,2092.9,2081.8,2063.2,2008.4,0.5331924296,1.439511439,4.207329217
NESTLEIND,1246.9,1260.6,1266.1,1187.7,-1.086784071,-1.516467894,4.984423676
